# HX711标定(bsp_hx711.h): d=去皮后diff; KNOWN_MASS_G=砝码克数, KNOWN_MASS_RAW_DIFF=仅放该砝码时本表d稳定值(含符号)
t_s,w_kg,w_g,raw,d
849.786180,167.050000,167050.000,2449407,2449407
850.380353,165.932000,165932.000,2433023,2433023
850.966668,166.212000,166212.000,2437119,2437119
852.150596,167.888000,167888.000,2461695,2461695
852.747276,188.839000,188839.000,2768895,2768895
853.341316,168.167000,168167.000,2465791,2465791
853.935842,168.446000,168446.000,2469887,2469887
854.546543,169.564000,169564.000,2486271,2486271
855.160792,168.167000,168167.000,2465791,2465791
855.755851,167.050000,167050.000,2449407,2449407
856.351464,166.770000,166770.000,2445311,2445311
856.945971,169.564000,169564.000,2486271,2486271
857.541247,220.405000,220405.000,3231743,3231743
858.135910,189.677000,189677.000,2781183,2781183
858.730741,188.839000,188839.000,2768895,2768895
859.325928,189.677000,189677.000,2781183,2781183
859.921154,189.397000,189397.000,2777087,2777087
860.515930,189.118000,189118.000,2772991,2772991
861.111255,189.397000,189397.000,2777087,2777087
861.705853,189.677000,189677.000,2781183,2781183
862.300724,190.235000,190235.000,2789375,2789375
862.896041,191.911000,191911.000,2813951,2813951
863.491128,188.280000,188280.000,2760703,2760703
864.086180,192.191000,192191.000,2818047,2818047
864.680884,162.859000,162859.000,2387967,2387967
865.277121,163.139000,163139.000,2392063,2392063
865.871750,163.418000,163418.000,2396159,2396159
866.465978,164.256000,164256.000,2408447,2408447
867.061482,163.697000,163697.000,2400255,2400255
867.657344,165.094000,165094.000,2420735,2420735
868.250758,161.463000,161463.000,2367487,2367487
868.846735,163.697000,163697.000,2400255,2400255
869.441389,162.021000,162021.000,2375679,2375679
870.035948,163.418000,163418.000,2396159,2396159
870.631777,163.697000,163697.000,2400255,2400255
871.225756,166.212000,166212.000,2437119,2437119
871.820611,161.742000,161742.000,2371583,2371583
872.416191,165.094000,165094.000,2420735,2420735
873.011437,163.418000,163418.000,2396159,2396159
873.606907,194.984000,194984.000,2859007,2859007
874.201059,163.418000,163418.000,2396159,2396159
874.796964,163.697000,163697.000,2400255,2400255
875.391818,162.301000,162301.000,2379775,2379775
875.985788,194.426000,194426.000,2850815,2850815
876.580818,161.463000,161463.000,2367487,2367487
877.176044,162.859000,162859.000,2387967,2387967
877.771477,161.742000,161742.000,2371583,2371583
878.366138,162.021000,162021.000,2375679,2375679
878.960930,165.094000,165094.000,2420735,2420735
879.556400,161.183000,161183.000,2363391,2363391
880.151038,162.859000,162859.000,2387967,2387967
880.746319,164.256000,164256.000,2408447,2408447
881.341066,161.463000,161463.000,2367487,2367487
881.936917,164.815000,164815.000,2416639,2416639
882.530539,162.859000,162859.000,2387967,2387967
883.125991,161.742000,161742.000,2371583,2371583
883.721125,162.301000,162301.000,2379775,2379775
884.315634,164.535000,164535.000,2412543,2412543
884.911267,165.373000,165373.000,2424831,2424831
885.506017,161.463000,161463.000,2367487,2367487
886.100965,164.535000,164535.000,2412543,2412543
886.699120,163.418000,163418.000,2396159,2396159
887.288436,163.697000,163697.000,2400255,2400255
887.885983,162.580000,162580.000,2383871,2383871
888.481226,163.139000,163139.000,2392063,2392063
889.076126,164.535000,164535.000,2412543,2412543
889.673068,161.742000,161742.000,2371583,2371583
890.265992,169.843000,169843.000,2490367,2490367
890.836295,161.463000,161463.000,2367487,2367487
891.401675,162.859000,162859.000,2387967,2387967
891.995640,192.191000,192191.000,2818047,2818047
893.150878,185.766000,185766.000,2723839,2723839
893.650866,183.531000,183531.000,2691071,2691071
894.151201,187.721000,187721.000,2752511,2752511
894.650659,194.146000,194146.000,2846719,2846719
895.151042,44.416000,44416.000,651263,651263
895.651747,44.695000,44695.000,655359,655359
896.150567,42.461000,42461.000,622591,622591
896.651675,42.181000,42181.000,618495,618495
897.151267,39.667000,39667.000,581631,581631
897.651171,39.109000,39109.000,573439,573439
898.150530,40.226000,40226.000,589823,589823
898.652082,39.109000,39109.000,573439,573439
899.151143,38.550000,38550.000,565247,565247
899.650791,37.712000,37712.000,552959,552959
900.151122,43.857000,43857.000,643071,643071
900.650820,41.623000,41623.000,610303,610303
901.147579,40.505000,40505.000,593919,593919
901.650853,41.623000,41623.000,610303,610303
902.151022,40.505000,40505.000,593919,593919
902.651934,43.857000,43857.000,643071,643071
903.151054,39.667000,39667.000,581631,581631
903.656732,0.740000,740.000,630783,630783
904.155822,0.749000,749.000,638975,638975
904.655702,0.716000,716.000,610303,610303
905.156542,0.725000,725.000,618495,618495
905.656007,0.706000,706.000,602111,602111
906.156546,0.725000,725.000,618495,618495
906.656159,0.720000,720.000,614399,614399
907.157110,0.720000,720.000,614399,614399
907.656120,0.730000,730.000,622591,622591
908.155651,0.730000,730.000,622591,622591
908.656115,0.725000,725.000,618495,618495
909.155566,0.725000,725.000,618495,618495
909.656484,0.716000,716.000,610303,610303
910.161549,0.691000,691.000,618495,618495
910.662100,0.728000,728.000,651263,651263
911.160902,0.650000,650.000,581631,581631
911.661648,0.696000,696.000,622591,622591
912.161777,1.126000,1126.000,1007615,1007615
912.661374,0.966000,966.000,864255,864255
913.161231,0.888000,888.000,794623,794623
913.661642,3.016000,3016.000,2699263,2699263
914.160677,3.021000,3021.000,2703359,2703359
914.661340,3.080000,3080.000,2756607,2756607
915.159184,3.058000,3058.000,2736127,2736127
915.661020,3.035000,3035.000,2715647,2715647
916.161801,3.039000,3039.000,2719743,2719743
916.661715,3.053000,3053.000,2732031,2732031
917.161447,3.666000,3666.000,3280895,3280895
917.660827,2.646000,2646.000,2367487,2367487
918.160061,2.664000,2664.000,2383871,2383871
918.661190,2.668000,2668.000,2387967,2387967
919.161591,2.673000,2673.000,2392063,2392063
919.661219,2.668000,2668.000,2387967,2387967
920.160746,2.792000,2792.000,2498559,2498559
920.661264,3.204000,3204.000,2867199,2867199
921.158502,3.058000,3058.000,2736127,2736127
921.660894,3.053000,3053.000,2732031,2732031
922.161412,3.021000,3021.000,2703359,2703359
922.661048,3.016000,3016.000,2699263,2699263
923.160951,3.076000,3076.000,2752511,2752511
923.835295,3.058000,3058.000,2736127,2736127
924.580292,3.076000,3076.000,2752511,2752511
924.677433,3.026000,3026.000,2707455,2707455
925.176637,3.016000,3016.000,2699263,2699263
925.663010,3.062000,3062.000,2740223,2740223
926.160921,3.021000,3021.000,2703359,2703359
926.680315,3.039000,3039.000,2719743,2719743
927.163764,3.030000,3030.000,2711551,2711551
927.661490,3.016000,3016.000,2699263,2699263
928.158075,3.071000,3071.000,2748415,2748415
