ts,dir,hex,id,error,params,valid,note
23:22:28.197,TX,FFFF000201FC,0,,baud=115200,,PING_ID
23:22:28.426,TX,FFFF010201FB,1,,baud=115200,,PING_ID
23:22:28.630,TX,FFFF020201FA,2,,baud=115200,,PING_ID
23:22:28.834,TX,FFFF030201F9,3,,baud=115200,,PING_ID
23:22:28.902,RX,FFFF020200FBFF,2,,FB,False,
23:22:28.937,RX,FOUND,3,,baud=115200,FOUND,舵机已找到
23:22:28.938,TX,FFFF040201F8,4,,baud=115200,,PING_ID
23:22:29.145,TX,FFFF050201F7,5,,baud=115200,,PING_ID
23:22:29.348,TX,FFFF060201F6,6,,baud=115200,,PING_ID
23:22:29.552,TX,FFFF070201F5,7,,baud=115200,,PING_ID
23:22:29.754,TX,FFFF080201F4,8,,baud=115200,,PING_ID
23:22:29.828,RX,FFFFFF070200F6FFFF080200,255,未定义指令,00F6FFFF0802,False,
23:22:29.857,RX,FOUND,8,,baud=115200,FOUND,舵机已找到
23:22:29.859,TX,FFFF090201F3,9,,baud=115200,,PING_ID
23:22:30.062,TX,FFFF0A0201F2,10,,baud=115200,,PING_ID
23:22:30.265,TX,FFFF0B0201F1,11,,baud=115200,,PING_ID
23:22:30.468,TX,FFFF0C0201F0,12,,baud=115200,,PING_ID
23:22:30.671,TX,FFFF0D0201EF,13,,baud=115200,,PING_ID
23:22:36.618,TX,FFFF0304022E01C7,-,,,,
23:22:38.066,TX,FFFF0304022E01C7,-,,,,
23:22:38.584,RX,FFFF03030000F9FF,3,,00F9,False,
23:22:40.537,TX,FFFF0304022E01C7,-,,,,
23:22:41.060,RX,FFFFFF03030000F9,255,ID超范围,0000,False,
23:22:46.570,TX,FFFF030201F9,-,,,,
23:22:46.679,TX,FFFF0304025501A0,-,,,,
23:22:46.780,TX,FFFF0304022801CD,-,,,,
23:22:46.881,TX,FFFF0304022903CA,-,,,,
23:22:46.983,TX,FFFF0304023802BC,-,,,,
23:22:47.084,TX,FFFF0304023301C2,-,,,,
23:22:47.185,TX,FFFFFE0201FE,-,,,,
23:22:47.487,TX,FFFF0304032801CC,-,,,,
23:22:47.589,TX,FFFF03060329000000CA,-,,,,
23:22:48.153,RX,FFFF030200FAFF,3,,FA,False,
23:22:57.939,TX,FFFF0304022801CD,-,,,,
23:22:57.970,TX,FFFF0304022903CA,-,,,,
23:22:58.003,TX,FFFF0304022A02CA,-,,,,
23:22:58.035,TX,FFFF0304022E02C6,-,,,,
23:22:58.067,TX,FFFF0304023301C2,-,,,,
23:22:58.099,TX,FFFF0304023802BC,-,,,,
23:22:58.130,TX,FFFF0304025501A0,-,,,,
23:23:07.670,TX,FFFF0304032800CD,-,,,,
23:23:07.724,TX,FFFF0304035500A0,-,,,,
23:23:07.778,TX,FFFF0307030900000000E9,-,,,,
23:23:07.832,TX,FFFF0304033301C1,-,,,,
23:23:07.886,TX,FFFF03040355019F,-,,,,
23:23:07.941,TX,FFFF0304032801CC,-,,,,
23:23:08.115,TX,FFFF03060329000000CA,-,,,,
23:23:13.347,TX,FFFF03060329000200C8,-,,,,
23:23:20.181,TX,FFFF03060329000300C7,-,,,,
23:23:22.331,TX,FFFF03060329000400C6,-,,,,
23:23:27.138,TX,FFFF030603290090003A,-,,,,
