# HX711标定(bsp_hx711.h): d=去皮后diff; KNOWN_MASS_G=砝码克数, KNOWN_MASS_RAW_DIFF=仅放该砝码时本表d稳定值(含符号)
t_s,w_kg,w_g,raw,d
6.259627,0.000000,0.000,671839,-32
7.129766,-0.009000,-9.000,671231,-640
7.874980,-0.020000,-20.000,670463,-1408
8.729931,-0.027000,-27.000,669951,-1920
9.515179,-0.037000,-37.000,669183,-2688
10.340561,-0.037000,-37.000,669247,-2624
11.005144,-0.037000,-37.000,669247,-2624
11.665510,-0.050000,-50.000,668287,-3584
12.615501,-0.022000,-22.000,670271,-1600
13.567341,-0.053000,-53.000,668095,-3776
15.649592,-0.011000,-11.000,671103,-768
16.884897,-0.018000,-18.000,670591,-1280
17.545673,-0.012000,-12.000,670975,-896
18.209555,0.000000,0.000,671487,-384
19.635605,-0.054000,-54.000,667967,-3904
20.300318,-0.040000,-40.000,668991,-2880
21.245050,-0.049000,-49.000,668351,-3520
21.913029,-0.036000,-36.000,669311,-2560
22.575591,-0.029000,-29.000,669823,-2048
23.235037,-0.030000,-30.000,669695,-2176
24.469958,-0.056000,-56.000,667839,-4032
25.135124,-0.055000,-55.000,667935,-3936
26.745218,0.019000,19.000,673215,1344
27.409908,0.000000,0.000,672063,192
29.495338,-0.027000,-27.000,669951,-1920
31.395419,-0.040000,-40.000,668991,-2880
32.340579,-0.029000,-29.000,669759,-2112
33.005017,-0.055000,-55.000,667935,-3936
33.670103,-0.037000,-37.000,669247,-2624
34.809825,-0.014000,-14.000,670847,-1024
35.470670,0.000000,0.000,671999,128
36.135771,0.008000,8.000,672447,576
38.790506,1.098000,1098.000,750591,78720
41.445304,0.877000,877.000,734719,62848
42.679992,0.884000,884.000,735231,63360
43.910527,0.866000,866.000,733951,62080
44.575528,0.898000,898.000,736255,64384
45.239767,0.894000,894.000,735999,64128
46.666032,0.862000,862.000,733695,61824
47.325381,0.891000,891.000,735743,63872
48.466050,0.816000,816.000,730367,58496
50.645195,2.151000,2151.000,826111,154240
52.260199,0.043000,43.000,674943,3072
54.630574,0.173000,173.000,684287,12416
55.300216,0.173000,173.000,684287,12416
55.955044,0.184000,184.000,685055,13184
57.095437,-0.029000,-29.000,669823,-2048
57.760231,-0.039000,-39.000,669055,-2816
58.421837,-0.026000,-26.000,670015,-1856
61.080123,1.046000,1046.000,746879,75008
62.690225,0.802000,802.000,729375,57504
64.395125,0.728000,728.000,724095,52224
65.060405,0.729000,729.000,724159,52288
65.725376,0.709000,709.000,722687,50816
66.391761,0.695000,695.000,721695,49824
67.054989,0.686000,686.000,721023,49152
67.715731,0.662000,662.000,719359,47488
69.801087,0.655000,655.000,718847,46976
71.890175,0.546000,546.000,711039,39168
73.595694,0.731000,731.000,724287,52416
74.260441,0.719000,719.000,723455,51584
74.925477,0.715000,715.000,723103,51232
75.590267,0.714000,714.000,723071,51200
76.255720,0.705000,705.000,722431,50560
76.916168,0.702000,702.000,722175,50304
77.579681,0.691000,691.000,721407,49536
78.244997,0.686000,686.000,721055,49184
78.909761,0.687000,687.000,721151,49280
80.995550,0.595000,595.000,714495,42624
83.650652,0.595000,595.000,714495,42624
