t_s,w_kg,w_g
9.925439,-0.062000,-62.000
11.260234,-0.102000,-102.000
12.655969,-0.036000,-36.000
13.790455,-0.107000,-107.000
14.455388,-0.080000,-80.000
16.071009,-0.138000,-138.000
16.730375,-0.138000,-138.000
17.395091,-0.165000,-165.000
18.060936,-0.152000,-152.000
19.766354,-0.238000,-238.000
20.430959,-0.272000,-272.000
22.140590,-0.397000,-397.000
23.275061,-0.263000,-263.000
23.940940,-0.207000,-207.000
24.605959,-0.183000,-183.000
25.745444,-0.343000,-343.000
26.405526,-0.281000,-281.000
27.355733,-0.316000,-316.000
29.066090,-0.080000,-80.000
31.721324,-0.080000,-80.000
34.090527,-0.323000,-323.000
34.755384,-0.365000,-365.000
36.366159,-0.365000,-365.000
37.030428,-0.303000,-303.000
39.115686,-0.303000,-303.000
40.731210,-0.303000,-303.000
43.386508,-0.303000,-303.000
46.041142,-0.303000,-303.000
48.696147,-0.303000,-303.000
51.355998,-0.303000,-303.000
54.011075,-0.303000,-303.000
56.665624,-0.303000,-303.000
58.560163,-1.350000,-1350.000
60.935397,-1.350000,-1350.000
63.305981,-1.350000,-1350.000
63.970799,-1.379000,-1379.000
66.341135,-1.379000,-1379.000
67.009526,-1.384000,-1384.000
67.670837,-1.361000,-1361.000
69.375454,-1.361000,-1361.000
70.516285,-1.136000,-1136.000
71.460678,-1.128000,-1128.000
